Index,T,TP,X,Y,YP,Z,ZP,Layer,,,size(mm),,,,,,,
1,0,0,0,0,0,0,0,1,bad,1,0.4185,1,,,,,,
2,0,1524,0,1,936,0,0,1,bad,1,0.3316,1,,,,,,
3,0,3049,0,3,872,0,0,1,bad,1,0.3418,1,,,,,,0
4,0,4573,0,5,808,0,0,1,bad,1,0.3378,1,,,,,,
5,0,6097,0,7,744,0,0,1,bad,1,0.3449,1,,,,,,
6,0,7622,0,9,680,0,0,1,bad,1,0.2816,1,,,,,,
8,1,1,0,13,55,0,0,1,bad,1,0.2834,1,,,,,,
9,1,219,0,15,49,0,0,1,bad,1,0.3258,1,,,,,,
10,1,372,0,17,42,0,0,1,bad,1,0.2873,1,,,,,,
11,1,524,0,19,36,0,0,1,bad,1,0.2685,1,,,,,,
12,1,677,0,21,30,0,0,1,bad,1,0.2663,1,,,,,,
13,1,829,0,23,23,0,0,1,bad,1,0.3330,1,,,,,,
14,1,982,0,25,17,0,0,1,bad,1,0.2875,1,,,,,,
15,2,134,0,27,10,0,0,1,bad,1,0.3171,1,,,,,,
16,2,287,0,29,4,0,0,1,bad,1,0.3170,1,,,,,,
17,2,439,0,30,97,0,0,1,bad,1,0.2977,1,,,,,,
18,2,591,0,32,91,0,0,1,bad,1,0.3447,1,,,,,,
19,2,744,0,34,85,0,0,1,bad,1,0.3019,1,,,,,,
20,2,896,0,36,78,0,0,1,bad,1,0.2621,1,,,,,,
21,3,1,0,38,72,0,0,1,bad,1,0.2677,1,,,,,,
22,3,201,0,40,65,0,0,1,bad,1,0.2817,1,,,,,,
23,3,354,0,42,59,0,0,1,bad,1,0.2743,1,,,,,,
24,10,6,0,30,97,0,51,2,bad,1,0.2770,1,,,,,,
26,10,37,0,34,85,0,51,2,bad,1,0.2850,1,,,,,,
27,10,52,0,36,78,0,51,2,bad,1,0.2589,1,,,,,,
29,10,82,0,40,65,0,51,2,bad,1,0.2630,1,,,,,,
30,10,98,0,42,59,0,51,2,bad,1,0.2589,1,,,,,,
31,11,13,0,44,53,0,51,2,bad,1,0.2540,1,,,,,,
33,11,43,0,48,40,0,51,2,bad,1,0.2744,1,,,,,,
34,11,59,0,50,33,0,51,2,bad,1,0.2656,1,,,,,,
36,7,622,0,0,0,0,51,2,bad,1,0.3571,1,,,,,,
37,7,774,0,1,936,0,51,2,bad,1,0.3012,1,,,,,,
38,7,927,0,3,872,0,51,2,bad,1,0.3347,1,,,,,,
40,8,231,0,7,744,0,51,2,bad,1,0.2905,1,,,,,,
41,8,384,0,9,680,0,51,2,bad,1,0.2634,1,,,,,,
42,8,536,0,11,62,0,51,2,bad,1,0.2772,1,,,,,,
43,8,689,0,13,55,0,51,2,bad,1,0.3147,1,,,,,,
47,9,299,0,21,30,0,51,2,bad,1,0.2684,1,,,,,,
48,9,451,0,23,23,0,51,2,bad,1,0.2429,1,,,,,,
49,9,603,0,25,17,0,51,2,bad,1,0.2654,1,,,,,,
50,9,756,0,27,10,0,51,2,bad,1,0.2491,1,,,,,,
51,9,908,0,29,1,0,51,2,bad,1,0.2774,1,,,,,,
52,16,0,0,0,0,1,0,3,bad,1,0.3017,1,,,,,,
66,18,14,0,27,10,1,0,3,bad,1,0.2569,1,,,,,,
216,62,0,0,48,40,3,57,8,bad,1,0.0500,1,,,,,,
294,88,87,0,0,0,5,61,12,bad,1,0.9823,1,,,,,,
321,95,88,0,0,0,6,12,13,bad,1,0.9823,1,,,,,,
418,121,0,0,48,40,7,65,16,bad,1,0.9824,1,,,,,,
484,139,2,0,60,0,8,67,18,bad,1,0.9648,1,,,,,,
510,149,1,0,0,0,9,69,20,bad,1,0.9648,1,,,,,,
538,153,3,0,54,21,9,69,20,bad,1,0.9648,1,,,,,,
539,157,6,0,0,0,10,2,21,bad,1,0.9648,1,,,,,,
564,161,4,0,48,40,10,2,21,bad,1,0.9648,1,,,,,,
613,180,3,0,0,0,11,73,24,bad,1,0.9648,1,,,,,,
691,200,3,0,46,46,12,75,26,bad,1,0.9648,1,,,,,,
722,209,8,0,58,1,13,26,27,bad,1,0.9648,1,,,,,,
750,217,2,0,52,27,13,77,28,bad,1,0.9702,1,,,,,,
776,223,5,0,48,40,14,28,29,bad,1,0.9702,1,,,,,,
944,271,2,0,52,27,17,34,35,bad,1,0.9616,1,,,,,,
1001,287,2,0,60,0,18,36,37,bad,1,0.9726,1,,,,,,
1029,293,7,0,52,27,18,87,38,bad,1,0.9702,1,,,,,,
1071,306,7,0,29,0,19,89,40,bad,1,0.9702,1,,,,,,
1101,318,9,0,0,0,20,91,42,bad,1,0.9693,1,,,,,,
1294,375,6,0,38,72,24,48,49,bad,1,0.9677,1,,,,,,
1325,383,7,0,58,1,24,99,50,bad,1,0.9677,1,,,,,,
1326,383,8,0,60,0,24,99,50,bad,1,0.9677,1,,,,,,
1327,388,1,0,0,0,25,5,51,bad,1,0.9677,1,,,,,,
1350,391,6,0,44,53,25,5,51,bad,1,0.9674,1,,,,,,
1445,420,3,0,44,53,27,54,55,bad,1,0.9695,1,,,,,,
1446,424,4,0,0,0,28,1,56,bad,1,0.9695,1,,,,,,
1510,441,6,0,36,78,29,1,58,bad,1,0.9693,1,,,,,,
